Sno,ADR_USD,hotel_id,city_id,star_rating,accommodation_type_id,hotel_type_id,booking_date,checkin_date,checkout_date
1, 90.60 ,"374,026","8,584",4,1,1,8/8/2016,10/6/2016,10/7/2016
2, 65.70 ,"1,167,514","8,584",3,1,2,8/9/2016,10/4/2016,10/6/2016
3, 73.08 ,"1,167,514","8,584",3,1,2,8/9/2016,10/2/2016,10/3/2016
4, 51.02 ,"217,094","8,584",3,2,1,8/10/2016,10/7/2016,10/10/2016
5, 166.16 ,"97,014","8,584",4,7,2,8/10/2016,10/1/2016,10/2/2016
6, 74.70 ,"1,167,514","8,584",3,1,2,8/14/2016,10/3/2016,10/6/2016
7, 57.18 ,"1,138,260","8,584",3,1,2,8/14/2016,10/4/2016,10/6/2016
8, 44.00 ,"2,516,708","8,584",4,1,2,8/15/2016,10/1/2016,10/2/2016
9, 81.36 ,"2,155,840","8,584",3,1,2,8/18/2016,10/5/2016,10/7/2016
10, 64.16 ,"217,132","8,584",3,1,1,8/18/2016,10/8/2016,10/10/2016
11, 55.05 ,"330,702","8,584",3,1,2,8/18/2016,10/3/2016,10/4/2016
12, 125.22 ,"2,122,458","8,584",4,7,1,8/19/2016,10/2/2016,10/3/2016
13, 77.83 ,"1,167,514","8,584",3,1,2,8/19/2016,10/10/2016,10/13/2016
14, 46.74 ,"298,160","8,584",4,1,2,8/20/2016,10/9/2016,10/10/2016
15, 81.68 ,"925,230","8,584",2,1,2,8/20/2016,10/16/2016,10/17/2016
16, 67.37 ,"2,155,840","8,584",3,1,2,8/20/2016,10/5/2016,10/7/2016
17, 46.02 ,"1,196,262","8,584",3,1,2,8/20/2016,10/8/2016,10/10/2016
18, 156.22 ,"2,122,458","8,584",4,7,1,8/21/2016,10/7/2016,10/9/2016
19, 81.52 ,"2,155,840","8,584",3,1,2,8/21/2016,10/7/2016,10/8/2016
20, 81.52 ,"2,155,840","8,584",3,1,2,8/21/2016,10/8/2016,10/9/2016
21, 81.52 ,"2,155,840","8,584",3,1,2,8/21/2016,10/9/2016,10/10/2016
22, 42.30 ,"611,840","8,584",2,2,2,8/22/2016,10/19/2016,10/22/2016
23, 195.26 ,"2,122,458","8,584",4,7,1,8/22/2016,10/14/2016,10/16/2016
24, 156.22 ,"2,122,458","8,584",4,7,1,8/22/2016,10/14/2016,10/16/2016
25, 124.96 ,"2,122,458","8,584",4,7,1,8/22/2016,10/14/2016,10/16/2016
26, 70.72 ,"1,167,514","8,584",3,1,2,8/23/2016,10/19/2016,10/21/2016
27, 38.42 ,"330,702","8,584",3,1,2,8/23/2016,10/3/2016,10/4/2016
28, 76.84 ,"330,702","8,584",3,1,2,8/23/2016,10/3/2016,10/4/2016
29, 259.54 ,"2,291,162","8,584",5,7,1,8/23/2016,10/18/2016,10/19/2016
30, 83.08 ,"1,167,514","8,584",3,1,2,8/23/2016,10/15/2016,10/17/2016
31, 51.66 ,"752,904","8,584",2,1,2,8/24/2016,10/22/2016,10/23/2016
32, 199.64 ,"21,720","8,584",5,7,2,8/24/2016,10/6/2016,10/7/2016
33, 125.00 ,"2,122,458","8,584",4,7,1,8/24/2016,10/9/2016,10/10/2016
34, 125.00 ,"2,122,458","8,584",4,7,1,8/24/2016,10/1/2016,10/2/2016
35, 56.16 ,"2,689,410","8,584",2.5,6,2,8/25/2016,10/20/2016,10/22/2016
36, 277.38 ,"2,122,458","8,584",4,7,1,8/25/2016,10/22/2016,10/24/2016
37, 62.88 ,"1,138,260","8,584",3,1,2,8/25/2016,10/8/2016,10/10/2016
38, 174.48 ,"671,278","8,584",3.5,1,2,8/25/2016,10/9/2016,10/12/2016
39, 218.44 ,"182,518","8,584",4,7,2,8/25/2016,10/15/2016,10/16/2016
40, 61.62 ,"1,138,260","8,584",3,1,2,8/25/2016,10/8/2016,10/10/2016
41, 259.82 ,"2,291,162","8,584",5,7,1,8/25/2016,10/3/2016,10/4/2016
42, 76.62 ,"217,132","8,584",3,1,1,8/27/2016,10/15/2016,10/18/2016
43, 68.74 ,"1,167,514","8,584",3,1,2,8/27/2016,10/5/2016,10/7/2016
44, 81.60 ,"2,155,840","8,584",3,1,2,8/27/2016,10/6/2016,10/7/2016
45, 86.74 ,"1,696,792","8,584",3,1,2,8/27/2016,10/22/2016,10/23/2016
46, 22.66 ,"676,386","8,584",2,4,2,8/28/2016,10/3/2016,10/5/2016
47, 221.88 ,"21,720","8,584",5,7,2,8/28/2016,10/2/2016,10/4/2016
48, 303.52 ,"323,744","8,584",4,1,1,8/28/2016,10/22/2016,10/24/2016
49, 74.88 ,"1,167,514","8,584",3,1,2,8/28/2016,10/5/2016,10/8/2016
50, 101.30 ,"1,167,514","8,584",3,1,2,8/29/2016,10/7/2016,10/9/2016
51, 162.64 ,"97,014","8,584",4,7,2,8/29/2016,10/23/2016,10/24/2016
52, 57.24 ,"824,874","8,584",2,1,2,8/29/2016,10/15/2016,10/16/2016
53, 225.50 ,"182,518","8,584",4,7,2,8/29/2016,10/1/2016,10/2/2016
54, 66.74 ,"480,554","8,584",3,4,2,8/30/2016,10/13/2016,10/15/2016
55, 109.74 ,"802,064","8,584",2,4,2,8/30/2016,10/1/2016,10/2/2016
56, 75.60 ,"374,026","8,584",4,1,1,8/30/2016,10/22/2016,10/23/2016
57, 78.84 ,"374,026","8,584",4,1,1,8/30/2016,10/22/2016,10/23/2016
58, 188.32 ,"671,278","8,584",3.5,1,2,8/30/2016,10/22/2016,10/24/2016
59, 107.57 ,"671,278","8,584",3.5,1,2,8/30/2016,10/8/2016,10/11/2016
60, 73.58 ,"480,554","8,584",3,4,2,8/31/2016,10/5/2016,10/6/2016
61, 267.82 ,"1,667,520","8,584",3,1,2,8/31/2016,10/6/2016,10/7/2016
62, 164.16 ,"671,278","8,584",3.5,1,2,9/1/2016,10/2/2016,10/4/2016
63, 264.28 ,"1,103,702","8,584",2.5,4,2,9/1/2016,10/8/2016,10/9/2016
64, 81.78 ,"925,230","8,584",2,1,2,9/2/2016,11/1/2016,11/4/2016
65, 50.98 ,"1,196,276","8,584",3,1,2,9/2/2016,10/19/2016,10/22/2016
66, 26.18 ,"451,470","8,584",2.5,2,2,9/2/2016,10/7/2016,10/9/2016
67, 69.18 ,"1,667,520","8,584",3,1,2,9/2/2016,10/3/2016,10/5/2016
68, 503.03 ,"1,728,430","8,584",3,9,2,9/2/2016,10/1/2016,10/4/2016
69, 111.20 ,"1,045,844","8,584",3,1,2,9/3/2016,10/19/2016,10/21/2016
70, 123.00 ,"2,428,930","8,584",3,1,1,9/3/2016,10/8/2016,10/9/2016
71, 294.75 ,"2,291,162","8,584",5,7,1,9/3/2016,10/8/2016,10/10/2016
72, 109.68 ,"802,064","8,584",2,4,2,9/3/2016,10/8/2016,10/9/2016
73, 41.14 ,"567,440","8,584",1.5,4,2,9/4/2016,10/4/2016,10/7/2016
74, 89.46 ,"1,667,520","8,584",3,1,2,9/4/2016,10/3/2016,10/5/2016
75, 58.42 ,"1,196,276","8,584",3,1,2,9/4/2016,10/6/2016,10/7/2016
76, 351.38 ,"2,291,162","8,584",5,7,1,9/5/2016,10/5/2016,10/7/2016
77, 104.01 ,"671,278","8,584",3.5,1,2,9/5/2016,10/20/2016,10/23/2016
78, 85.74 ,"1,667,520","8,584",3,1,2,9/5/2016,10/2/2016,10/3/2016
79, 111.24 ,"802,064","8,584",2,4,2,9/5/2016,10/1/2016,10/2/2016
80, 101.24 ,"2,516,708","8,584",4,1,2,9/5/2016,10/1/2016,10/2/2016
81, 54.96 ,"925,230","8,584",2,1,2,9/5/2016,10/21/2016,10/24/2016
82, 78.45 ,"1,138,260","8,584",3,1,2,9/6/2016,10/30/2016,11/2/2016
83, 201.72 ,"298,160","8,584",4,1,2,9/6/2016,11/3/2016,11/5/2016
84, 89.42 ,"2,155,840","8,584",3,1,2,9/6/2016,10/24/2016,10/27/2016
85, 211.88 ,"182,518","8,584",4,7,2,9/6/2016,10/22/2016,10/24/2016
86, 97.78 ,"217,132","8,584",3,1,1,9/6/2016,10/25/2016,10/28/2016
87, 47.04 ,"480,554","8,584",3,4,2,9/6/2016,10/27/2016,10/28/2016
88, 31.60 ,"1,006,520","8,584",3,1,2,9/6/2016,10/23/2016,10/24/2016
89, 57.72 ,"217,094","8,584",3,2,1,9/6/2016,10/23/2016,10/24/2016
90, 133.58 ,"671,278","8,584",3.5,1,2,9/6/2016,10/7/2016,10/9/2016
91, 96.06 ,"671,278","8,584",3.5,1,2,9/6/2016,10/7/2016,10/9/2016
92, 234.77 ,"323,744","8,584",4,1,1,9/6/2016,10/26/2016,10/29/2016
93, 97.96 ,"671,278","8,584",3.5,1,2,9/6/2016,10/7/2016,10/10/2016
94, 109.50 ,"1,167,514","8,584",3,1,2,9/6/2016,10/1/2016,10/2/2016
95, 81.52 ,"374,026","8,584",4,1,1,9/7/2016,10/23/2016,10/24/2016
96, 186.70 ,"2,396,868","8,584",2.5,9,2,9/7/2016,10/21/2016,10/22/2016
97, 214.08 ,"182,518","8,584",4,7,2,9/7/2016,10/1/2016,10/2/2016
98, 70.52 ,"1,167,514","8,584",3,1,2,9/7/2016,10/7/2016,10/10/2016
99, 139.11 ,"1,667,520","8,584",3,1,2,9/7/2016,10/19/2016,10/22/2016
100, 202.30 ,"21,720","8,584",5,7,2,9/7/2016,11/3/2016,11/4/2016
101, 58.66 ,"2,389,844","8,584",3,6,1,9/7/2016,10/27/2016,10/29/2016
102, 103.42 ,"1,667,520","8,584",3,1,2,9/7/2016,10/7/2016,10/9/2016
103, 70.40 ,"2,155,840","8,584",3,1,2,9/7/2016,10/7/2016,10/9/2016
104, 301.44 ,"2,291,162","8,584",5,7,1,9/7/2016,10/14/2016,10/16/2016
105, 66.03 ,"2,689,410","8,584",2.5,6,2,9/8/2016,10/22/2016,10/24/2016
106, 49.88 ,"752,904","8,584",2,1,2,9/8/2016,10/28/2016,10/30/2016
